Subject,CrseNumb,AcyrCode,Term,Section,EnrlMax,EnrlActual
ABCD,1110,2009,201010,R40,35,3
ABCD,1110,2009,201020,R40,20,7
ABCD,1110,2009,201020,S14,35,23
ABCD,1110,2009,201020,S16,35,4
ABCD,1110,2010,201030,R40,35,5
ABCD,1110,2010,201030,S13,35,0
ABCD,1110,2010,201030,S14,35,0
ABCD,1110,2010,201030,S15,35,0
ABCD,1110,2010,201030,S16,35,3
ABCD,1110,2010,201110,R40,35,1
ABCD,1110,2010,201110,S13,35,0
ABCD,1110,2010,201110,S14,35,0
ABCD,1110,2010,201110,S15,35,0
ABCD,1110,2010,201110,S16,35,3
ABCD,1110,2010,201120,R40,20,9
ABCD,1110,2010,201120,S13,35,1
ABCD,1110,2010,201120,S15,35,7
ABCD,1110,2010,201120,S16,35,4
ABCD,1110,2011,201130,L10,1,1
ABCD,1110,2011,201130,S10,2,2
ABCD,1110,2011,201130,S11,0,0
ABCD,1110,2011,201130,S12,0,0
ABCD,1110,2011,201130,S13,0,0
ABCD,1110,2011,201210,F10,15,0
ABCD,1110,2011,201210,F11,15,4
ABCD,1110,2011,201210,F12,15,0
ABCD,1110,2011,201210,F13,15,0
ABCD,1110,2011,201210,F14,15,0
ABCD,1110,2011,201210,F40,20,6
ABCD,1110,2011,201220,F10,15,2
ABCD,1110,2011,201220,F11,15,1
ABCD,1110,2011,201220,F12,15,8
ABCD,1110,2011,201220,F13,15,1
ABCD,1110,2011,201220,F14,15,2
ABCD,1110,2011,201220,F40,15,6
ABCD,1111,2009,201010,R16,1,1
ABCD,1111,2009,201020,R40,1,0
ABCD,1111,2009,201020,S14,2,1
ABCD,1111,2010,201030,S14,1,1
ABCD,1111,2010,201030,S15,1,1
ABCD,1111,2010,201110,R40,35,0
ABCD,1111,2010,201110,S13,35,1
ABCD,1111,2010,201110,S14,35,1
ABCD,1111,2010,201110,S15,35,0
ABCD,1111,2010,201110,S16,35,0
ABCD,1111,2010,201120,R10,20,0
ABCD,1111,2010,201120,S10,35,0
ABCD,1111,2010,201120,S11,35,0
ABCD,1111,2010,201120,S12,35,0
ABCD,1111,2010,201120,S13,35,0
ABCD,1111,2011,201130,L10,0,0
ABCD,1111,2011,201130,S10,3,0
ABCD,1111,2011,201130,S11,3,0
ABCD,1111,2011,201130,S12,3,0
ABCD,1111,2011,201130,S13,35,0
ABCD,1111,2011,201130,S14,3,0
ABCD,1111,2011,201210,F10,3,0
ABCD,1111,2011,201210,F11,3,0
ABCD,1111,2011,201210,F12,3,0
ABCD,1111,2011,201210,F13,3,0
ABCD,1111,2011,201210,F14,3,0
ABCD,1111,2011,201220,F10,3,0
ABCD,1111,2011,201220,F11,3,0
ABCD,1111,2011,201220,F12,3,0
ABCD,1111,2011,201220,F13,3,0
ABCD,1111,2011,201220,F14,3,0
ABCD,1111,2011,201220,F40,3,0
ABCD,1112,2009,201020,R16,1,1
ABCD,1112,2010,201030,R40,1,0
ABCD,1112,2010,201030,S14,2,1
ABCD,1112,2010,201110,S14,1,1
ABCD,1112,2010,201110,S15,1,0
ABCD,1112,2010,201120,R10,20,0
ABCD,1112,2010,201120,S13,1,1
ABCD,1112,2010,201120,S14,1,1
ABCD,1112,2011,201130,S10,0,0
ABCD,1112,2011,201130,S11,0,0
ABCD,1112,2011,201130,S12,0,0
ABCD,1112,2011,201130,S13,35,0
ABCD,1112,2011,201210,S14,0,0
ABCD,1112,2011,201210,S15,0,0
ABCD,1150,2012,201230,F10,10,3
ABCD,1150,2012,201230,F11,20,1
ABCD,1150,2012,201230,F12,10,4
ABCD,1150,2012,201230,F13,20,3
ABCD,1150,2012,201230,F14,20,4
ABCD,1150,2012,201230,F40,20,0
ABCD,1150,2012,201310,F10,10,7
ABCD,1150,2012,201310,F11,10,2
ABCD,1150,2012,201310,F12,10,0
ABCD,1150,2012,201310,F13,10,5
ABCD,1150,2012,201310,F14,11,11
ABCD,1150,2012,201310,F40,20,7
ABCD,1150,2012,201320,F10,35,12
ABCD,1150,2012,201320,F11,35,2
ABCD,1150,2012,201320,F12,35,7
ABCD,1150,2012,201320,F13,35,6
ABCD,1150,2012,201320,F14,35,16
ABCD,1150,2012,201320,F40,20,12
ABCD,1150,2013,201330,F10,35,4
ABCD,1150,2013,201330,F11,35,0
ABCD,1150,2013,201330,F12,35,4
ABCD,1150,2013,201330,F13,35,3
ABCD,1150,2013,201330,F14,35,16
ABCD,1150,2013,201330,F40,20,0
ABCD,1150,2013,201410,F10,35,3
ABCD,1150,2013,201410,F11,35,1
ABCD,1150,2013,201410,F12,35,6
ABCD,1150,2013,201410,F13,35,12
ABCD,1150,2013,201410,F14,35,5
ABCD,1150,2013,201410,F15,4,4
ABCD,1150,2013,201410,F40,20,0
ABCD,1150,2013,201420,F10,35,11
ABCD,1150,2013,201420,F11,35,3
ABCD,1150,2013,201420,F12,35,8
ABCD,1150,2013,201420,F13,35,6
ABCD,1150,2013,201420,F14,35,11
ABCD,1150,2013,201420,F40,20,11
ABCD,1150,2014,201430,F10,35,3
ABCD,1150,2014,201430,F11,35,4
ABCD,1150,2014,201430,F12,35,3
ABCD,1150,2014,201430,F13,35,7
ABCD,1150,2014,201430,F14,35,14
ABCD,1150,2014,201430,F40,20,0
ABCD,1150,2014,201510,F10,35,4
ABCD,1150,2014,201510,F11,35,0
ABCD,1150,2014,201510,F12,35,4
ABCD,1150,2014,201510,F13,35,5
ABCD,1150,2014,201510,F14,35,13
ABCD,1150,2014,201510,F15,35,8
ABCD,1150,2014,201510,F40,20,1
ABCD,1150,2014,201520,F10,35,0
ABCD,1150,2014,201520,F11,35,0
ABCD,1150,2014,201520,F12,35,0
ABCD,1150,2014,201520,F13,35,0
ABCD,1150,2014,201520,F14,35,0
ABCD,1150,2014,201520,F15,35,0
ABCD,1150,2014,201520,F40,20,0
ABCD,1150,2015,201530,F10,35,0
ABCD,1150,2015,201530,F11,35,0
ABCD,1150,2015,201530,F12,35,0
ABCD,1150,2015,201530,F13,35,0
ABCD,1150,2015,201530,F14,35,0
ABCD,1150,2015,201530,F40,20,0
ABCD,1150A,2012,201230,F10,3,0
ABCD,1150A,2012,201230,F11,3,0
ABCD,1150A,2012,201230,F12,3,1
ABCD,1150A,2012,201230,F13,3,0
ABCD,1150A,2012,201230,F14,3,1
ABCD,1150A,2012,201230,F40,3,0
ABCD,1150A,2012,201310,F10,3,0
ABCD,1150A,2012,201310,F11,3,0
ABCD,1150A,2012,201310,F12,3,0
ABCD,1150A,2012,201310,F13,3,0
ABCD,1150A,2012,201310,F14,3,0
ABCD,1150A,2012,201310,F40,3,0
ABCD,1150A,2012,201320,F10,35,0
ABCD,1150A,2012,201320,F11,35,0
ABCD,1150A,2012,201320,F12,35,0
ABCD,1150A,2012,201320,F13,35,0
ABCD,1150A,2012,201320,F14,35,1
ABCD,1150A,2012,201320,F40,35,0
ABCD,1150A,2013,201330,F10,3,0
ABCD,1150A,2013,201330,F11,3,0
ABCD,1150A,2013,201330,F12,3,0
ABCD,1150A,2013,201330,F13,3,0
ABCD,1150A,2013,201330,F14,3,0
ABCD,1150A,2013,201330,F40,3,0
ABCD,1150A,2013,201410,F10,35,0
ABCD,1150A,2013,201410,F11,35,0
ABCD,1150A,2013,201410,F12,35,0
ABCD,1150A,2013,201410,F13,35,0
ABCD,1150A,2013,201410,F14,35,1
ABCD,1150A,2013,201410,F15,2,1
ABCD,1150A,2013,201410,F40,20,0
ABCD,1150A,2014,201430,F10,3,1
ABCD,1150A,2014,201430,F11,3,0
ABCD,1150A,2014,201430,F12,3,0
ABCD,1150A,2014,201430,F13,3,1
ABCD,1150A,2014,201430,F14,3,1
ABCD,1150A,2014,201510,F10,35,0
ABCD,1150A,2014,201510,F11,35,0
ABCD,1150A,2014,201510,F12,35,0
ABCD,1150A,2014,201510,F13,35,0
ABCD,1150A,2014,201510,F14,35,0
ABCD,1150A,2014,201510,F15,35,1
ABCD,1150A,2014,201520,F10,5,0
ABCD,1150A,2014,201520,F11,5,0
ABCD,1150A,2014,201520,F12,5,0
ABCD,1150A,2014,201520,F13,5,0
ABCD,1150A,2014,201520,F14,5,0
ABCD,1150A,2014,201520,F15,35,0
ABCD,1150A,2015,201530,F10,3,0
ABCD,1150A,2015,201530,F11,3,0
ABCD,1150A,2015,201530,F12,3,0
